,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name,products
0,2022-04-15T04:11:58Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'dining_room', 'fireplace', 'recreation_facilities', 'single_story', 'modern_kitchen', 'large_kitchen', 'vaulted_ceiling', 'floor_plan', 'front_porch', 'farm', 'ranch', 'shopping']",926-Ujamaa-Dr_Raleigh_NC_27610_M55615-15248,for_sale,2022-04-15T04:14:14Z,,"[{'name': 'FATHOM REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/35c020459bf3a1b19db45556e4b0bb81l-m20302790s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/35c020459bf3a1b19db45556e4b0bb81l-m1669124537s-w1024_h768.jpg'}]",,299999,False,5561515248,,,2942124446,,https://ap.rdcpix.com/35c020459bf3a1b19db45556e4b0bb81l-m20302790s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,907E925117565D3DF2A317683D6D606D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2019-03-28,159000.0,2.0,,,4792.0,1300.0,2.0,,,,1.0,3.0,single_family,27610,North Carolina,-78.622603,35.733962,Raleigh,NC,926 Ujamaa Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=926%20Ujamaa%20Dr%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=FB8WCXZJx_ce4-IESHnwBpR8SvQ=,37183,Wake,"[{'listing_id': '2942124446', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '651922686', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
1,2022-04-15T02:02:12Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories']",7620-Huey-Ct_Raleigh_NC_27615_M54165-33949,for_sale,2022-04-15T02:05:10Z,,"[{'name': 'Absolute Realty Company, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/370efc404c50456975ae01d711348628l-m3300394999s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/370efc404c50456975ae01d711348628l-m3977055907s-w1024_h768.jpg'}]",,270000,False,5416533949,,,2942119118,,https://ap.rdcpix.com/370efc404c50456975ae01d711348628l-m3300394999s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,CD8FE76F74900F5F200EB533DF872E8E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1983.0,,2018-07-09,172500.0,2.0,,1.0,1742.0,1308.0,3.0,townhouse,,,2.0,2.0,townhomes,27615,North Carolina,-78.644619,35.88425,Raleigh,NC,7620 Huey Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7620%20Huey%20Ct%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=IHxr6XCA6vYytJ5BJjztKLjgoz4=,37183,Wake,"[{'listing_id': '2942119118', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '643723642', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '591391806', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '581835310', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
2,2022-04-14T23:33:20Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'smart_homes', 'shopping']",2602-Andover-Glen-Rd_Raleigh_NC_27604_M52327-81180,for_sale,2022-04-14T23:35:00Z,"[{'start_date': '2022-04-15T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-15T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c22d541472d1be3d6ece3d21db4d8d92l-m3321955428s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c22d541472d1be3d6ece3d21db4d8d92l-m3321955428s-w1024_h768.jpg'}]",,275000,False,5232781180,,,2942112764,,https://ap.rdcpix.com/c22d541472d1be3d6ece3d21db4d8d92l-m3321955428s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E001C0DC22132419EDFF8C002ED02674,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2005.0,,2005-09-19,143500.0,2.0,,1.0,1742.0,1329.0,3.0,townhouse,,1.0,2.0,2.0,townhomes,27604,North Carolina,-78.566125,35.820216,Raleigh,NC,2602 Andover Glen Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2602%20Andover%20Glen%20Rd%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=mMJNtGh3-tRjQ957boOSRkKd21I=,37183,Wake,"[{'listing_id': '2942112764', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2941297729', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
3,2022-04-14T16:57:34Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories']",7702-Averette-Field-Dr_Raleigh_NC_27616_M60800-45648,for_sale,2022-04-14T17:05:01Z,,"[{'name': 'Keller Williams Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e7381a1503df8d92178e2d0e73dcee52l-m2427533134s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e7381a1503df8d92178e2d0e73dcee52l-m1222034641s-w1024_h768.jpg'}]",,275000,False,6080045648,,,2942097186,,https://ap.rdcpix.com/e7381a1503df8d92178e2d0e73dcee52l-m2427533134s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,90A8E184739868D895313D18FA83C1F8,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2006.0,,2015-08-24,126000.0,2.0,,1.0,17424.0,1410.0,3.0,townhouse,,,2.0,3.0,townhomes,27616,North Carolina,-78.536854,35.876531,Raleigh,NC,7702 Averette Field Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7702%20Averette%20Field%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=CQCowROAo5JBvHsOBE-NMZuKRls=,37183,Wake,"[{'listing_id': '2942097186', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '645670174', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '605865318', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '603050762', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '537305810', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '507518178', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
4,2022-04-14T15:22:31Z,"['central_air', 'community_tennis_court', 'fireplace', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'tennis', 'lake', 'hoa', 'shopping']",5709-Forest-Lawn-Ct_Raleigh_NC_27612_M62192-76467,for_sale,2022-04-14T15:26:17Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c416b819da0e28d0b1a28777e702137cl-m4113811625s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c416b819da0e28d0b1a28777e702137cl-m2285025897s-w1024_h768.jpg'}]",,269000,False,6219276467,,,2942092783,,https://ap.rdcpix.com/c416b819da0e28d0b1a28777e702137cl-m4113811625s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,5D50DE66EBB2214C08C71296D99073CB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1979.0,,2020-10-30,185000.0,1.0,,1.0,871.0,1449.0,2.0,townhouse,,,2.0,2.0,townhomes,27612,North Carolina,-78.665087,35.854272,Raleigh,NC,5709 Forest Lawn Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5709%20Forest%20Lawn%20Ct%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=G_GHEhTq145DJTIga9JJVvusZLg=,37183,Wake,"[{'listing_id': '2942092783', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2922267453', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2520559157', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
5,2022-04-14T14:08:32Z,"['community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'furnished', 'laundry_room', 'two_or_more_stories', 'granite_kitchen']",7841-Stephanie-Ln_Raleigh_NC_27615_M60661-81158,for_sale,2022-04-14T14:09:17Z,,"[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1833e0da264844bdd27044f703296577l-m1371155167s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1833e0da264844bdd27044f703296577l-m185387830s-w1024_h768.jpg'}]",,270000,False,6066181158,,,2942089724,,https://ap.rdcpix.com/1833e0da264844bdd27044f703296577l-m1371155167s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,3AE264274406D12136CB16B34EF69B96,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1986.0,,1991-10-11,54500.0,1.0,,1.0,1307.0,1300.0,2.0,townhouse,,,2.0,3.0,townhomes,27615,North Carolina,-78.644235,35.884151,Raleigh,NC,7841 Stephanie Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7841%20Stephanie%20Ln%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=yEnOPzQ0LB6dCGW6IPQKqD-vosQ=,37183,Wake,"[{'listing_id': '2942089724', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
6,2022-04-14T04:01:47Z,"['central_air', 'community_outdoor_space', 'forced_air', 'laundry_room', 'recreation_facilities', 'single_story']",2912-Okelly-St_Raleigh_NC_27607_M60097-92009,for_sale,2022-04-14T04:03:43Z,,"[{'name': 'Nest Realty of the Triangle', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/71d94f89a843321ea0baebd90631b4d3l-m1593397688s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/71d94f89a843321ea0baebd90631b4d3l-m929832588s-w1024_h768.jpg'}]",,275000,False,6009792009,,,2942080574,,https://ap.rdcpix.com/71d94f89a843321ea0baebd90631b4d3l-m1593397688s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,634EBF925EEE7B5B923ABFA9B8C9EEF3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1980.0,,2003-05-29,89000.0,3.0,,,6534.0,1349.0,3.0,,,,1.0,4.0,single_family,27607,North Carolina,-78.689283,35.790195,Raleigh,NC,2912 Okelly St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2912%20Okelly%20St%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=ejOpMCBWiniaLVIyLngEWHh28zI=,37183,Wake,"[{'listing_id': '2942080574', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
7,2022-04-14T01:30:36Z,"['energy_efficient', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'modern_kitchen', 'open_kitchen', 'open_floor_plan', 'floor_plan', 'rental_property', 'library', 'smart_homes']",1801-Trailwood-Heights-Ln-Unit-202_Raleigh_NC_27603_M62590-50937,for_sale,2022-04-14T01:34:24Z,,"[{'name': 'HHome Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4ef22adb67254534b8da24ca2fee11e0l-m2167174844s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4ef22adb67254534b8da24ca2fee11e0l-m1628640377s-w1024_h768.jpg'}]",,249000,False,6259050937,,,2942078191,,https://ap.rdcpix.com/4ef22adb67254534b8da24ca2fee11e0l-m2167174844s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,88E25A69F07A1F68D5398999E52C94E9,,,,,,,True,,True,True,False,False,co_broke,['co_broke'],basic_opt_in,2004.0,,2018-12-20,125000.0,2.0,,,,1210.0,2.0,condo,,,1.0,3.0,condos,27603,North Carolina,-78.685988,35.752052,Raleigh,NC,1801 Trailwood Heights Ln Unit 202,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1801%20Trailwood%20Heights%20Ln%20Unit%20202%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=jN1YZ_M4flTOsKU0xgtbE4X6bik=,37183,Wake,"[{'listing_id': '2942078191', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '649089718', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
8,2022-04-15T00:20:56Z,"['cul_de_sac', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'master_bedroom', 'rental_property']",1712-Sagamore-Ct_Raleigh_NC_27604_M59422-59121,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Logos Family Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/0fb9b9dbe16dfcbec611d17507205b7fl-m2294501742s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/0fb9b9dbe16dfcbec611d17507205b7fl-m2845841624s-w1024_h768.jpg'}]",,295000,False,5942259121,,,2942061041,,https://ap.rdcpix.com/0fb9b9dbe16dfcbec611d17507205b7fl-m2294501742s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,1E77F25E4C0D7ACE79B34EE01F66836D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1989.0,,2011-03-11,129000.0,2.0,,1.0,6970.0,1500.0,3.0,,,,2.0,3.0,single_family,27604,North Carolina,-78.555395,35.804384,Raleigh,NC,1712 Sagamore Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1712%20Sagamore%20Ct%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=yPMneIUWTjtQ7jMUA4DbdGUr17w=,37183,Wake,"[{'listing_id': '2942061041', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '527703466', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '525514094', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
9,2022-04-13T14:05:11Z,"['community_outdoor_space', 'forced_air', 'recreation_facilities', 'single_story', 'granite_kitchen', 'updated_kitchen', 'fenced_yard', 'shopping']",8208-McGuire-Dr_Raleigh_NC_27616_M51461-96835,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Shiper Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/0a99e9d13770e874e627a13bd32fcfe8l-m1341427223s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/0a99e9d13770e874e627a13bd32fcfe8l-m809283278s-w1024_h768.jpg'}]",,179000,False,5146196835,,,2942061189,,https://ap.rdcpix.com/0a99e9d13770e874e627a13bd32fcfe8l-m1341427223s-w1024_h768.jpg,"[{'office_name': 'Shiper Realty, LLC'}]",TANC,,,mls,47A374A568FF62D2B657B109109AA04D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1986.0,,2007-05-24,67000.0,1.0,,,2178.0,742.0,1.0,townhouse,,,1.0,2.0,townhomes,27616,North Carolina,-78.557273,35.884062,Raleigh,NC,8208 McGuire Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8208%20McGuire%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=-bV7JaNMBVUzR_WMVctLaB9PXPs=,37183,Wake,"[{'listing_id': '2942061189', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2722245767', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '632546194', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '596894230', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
10,2022-04-14T12:47:30Z,"['central_air', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'single_story', 'open_floor_plan', 'floor_plan', 'farm', 'ranch', 'groundscare', 'shopping']",3015-Tuckland-Dr_Raleigh_NC_27610_M64908-32687,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Nicole James Real Estate Group', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7b71ed1d3b80bf7bd3247f370efbc6del-m1204350172s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7b71ed1d3b80bf7bd3247f370efbc6del-m2662673269s-w1024_h768.jpg'}]",,287500,False,6490832687,,,2942061028,,https://ap.rdcpix.com/7b71ed1d3b80bf7bd3247f370efbc6del-m1204350172s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E8499C3F3A18D23BFAD19708B22D818A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2000.0,,2007-09-04,130000.0,2.0,,,7841.0,1660.0,2.0,,,,1.0,3.0,single_family,27610,North Carolina,-78.575659,35.74021,Raleigh,NC,3015 Tuckland Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3015%20Tuckland%20Dr%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=TJ0uMhCjzSRv9zWs3eB8HniBXKI=,37183,Wake,"[{'listing_id': '2942061028', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
11,2022-04-15T14:51:53Z,,603-Hurley-St_Raleigh_NC_27606_M94590-91721,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Allen Tate Realtors-Apex', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9a39977cbc2fb09f76fd793d55fc3fafl-m399362107s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9a39977cbc2fb09f76fd793d55fc3fafl-m61417521s-w1024_h768.jpg'}]",,115000,False,9459091721,,,2936140883,,https://ap.rdcpix.com/9a39977cbc2fb09f76fd793d55fc3fafl-m399362107s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,0B9DF5012FA5D5E63F5A86EF027C8615,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,20909.0,,0.0,,,,,,land,27606,North Carolina,-78.746587,35.785827,Raleigh,NC,603 Hurley St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=603%20Hurley%20St%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=pXVsSEYRgGix8UtT9NB1oKAlNuo=,37183,Wake,"[{'listing_id': '2936140883', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
12,2022-04-15T14:51:28Z,,601-Hurley-St_Raleigh_NC_27606_M96810-98501,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Allen Tate Realtors-Apex', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6daba0925c941765b14b554987ea33f2l-m399362107s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6daba0925c941765b14b554987ea33f2l-m2937801891s-w1024_h768.jpg'}]",,115000,False,9681098501,,,2936140553,,https://ap.rdcpix.com/6daba0925c941765b14b554987ea33f2l-m399362107s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,A48A586CF44B5D5C7120EFF7759CFBBB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,25265.0,,0.0,,,,,,land,27606,North Carolina,-78.746579,35.785543,Raleigh,NC,601 Hurley St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=601%20Hurley%20St%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=QL-zdAIZoyztXCcNuctRrpuDI8c=,37183,Wake,"[{'listing_id': '2936140553', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
13,2022-04-14T13:37:25Z,['single_story'],3740-Tarheel-Club-Rd_Raleigh_NC_27604_M98968-26521,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Julie Wright Realty Group', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d1be42e3f2ca0a76c6a8ab06477f51d5l-m972686563s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d1be42e3f2ca0a76c6a8ab06477f51d5l-m485319071s-w1024_h768.jpg'}]",,99000,False,9896826521,,,2936485789,,https://ap.rdcpix.com/d1be42e3f2ca0a76c6a8ab06477f51d5l-m972686563s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,54F856AF05408623DF2D31BB6634A08B,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,53579.0,,0.0,,,,,,land,27604,North Carolina,-78.523032,35.827066,Raleigh,NC,3740 Tarheel Club Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3740%20Tarheel%20Club%20Rd%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=CZ6CbTKb8n00ZCBDo7_mUtaby6M=,37183,Wake,"[{'listing_id': '2936485789', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
14,2022-04-13T15:54:20Z,['corner_lot'],107-Bragg-St_Raleigh_NC_27601_M66643-38785,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Rich Realty Group', 'photo': None, 'type': 'Office'}]",[{'href': 'https://ap.rdcpix.com/b2e9554950923bf82a957bfb45d5cbd1l-m3001069910s-w1024_h768.jpg'}],,235000,False,6664338785,,,2942061184,,https://ap.rdcpix.com/b2e9554950923bf82a957bfb45d5cbd1l-m3001069910s-w1024_h768.jpg,[{'office_name': 'Rich Realty Group'}],TANC,,,mls,1A4E6B0CBF92FA253AB57BF9C1FF6E82,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,2018-05-18,330000.0,,,,3485.0,,0.0,,,,,,land,27601,North Carolina,-78.63817,35.765922,Raleigh,NC,107 Bragg St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=107%20Bragg%20St%2C%20Raleigh%2C%20NC%2027601&size=640x480&source=outdoor&signature=7Dnp0pqr3Kb9waGH5ZIyY6wqacU=,37183,Wake,"[{'listing_id': '2942061184', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '639734858', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
15,2022-04-13T14:11:31Z,,103-Bragg-St_Raleigh_NC_27601_M59691-73355,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Rich Realty Group', 'photo': None, 'type': 'Office'}]",[{'href': 'https://ap.rdcpix.com/5ceb18c180e20be557c359bf3169ccdel-m3921747099s-w1024_h768.jpg'}],,285000,False,5969173355,,,2942061183,,https://ap.rdcpix.com/5ceb18c180e20be557c359bf3169ccdel-m3921747099s-w1024_h768.jpg,[{'office_name': 'Rich Realty Group'}],TANC,,,mls,E605DC329CB9E5424F8FC7405AD85173,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,2018-05-18,330000.0,,,,5663.0,,0.0,,,,,,land,27601,North Carolina,-78.638334,35.765938,Raleigh,NC,103 Bragg St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=103%20Bragg%20St%2C%20Raleigh%2C%20NC%2027601&size=640x480&source=outdoor&signature=GqnIBbYZLK2BXi-oYgvH4ez2_3c=,37183,Wake,"[{'listing_id': '2942061183', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '639822846', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
16,2022-04-13T15:53:50Z,['corner_lot'],1116-Mark-St_Raleigh_NC_27601_M93309-72002,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Rich Realty Group', 'photo': None, 'type': 'Office'}]",[{'href': 'https://ap.rdcpix.com/6c7b72ebf8218695bf31f7c7f7a52704l-m2148246464s-w1024_h768.jpg'}],,195000,False,9330972002,,,2942061191,,https://ap.rdcpix.com/6c7b72ebf8218695bf31f7c7f7a52704l-m2148246464s-w1024_h768.jpg,[{'office_name': 'Rich Realty Group'}],TANC,,,mls,,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,3049.0,,0.0,,,,,,land,27601,North Carolina,-78.638165,35.766803,Raleigh,NC,1116 Mark St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1116%20Mark%20St%2C%20Raleigh%2C%20NC%2027601&size=640x480&source=outdoor&signature=ojnvesGvMfRESNIja91dfNzfndk=,37183,Wake,"[{'listing_id': '2942061191', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
