,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,products
0,2022-05-06T14:53:13Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'single_story']",301-W-Whitaker-Mill-Rd_Raleigh_NC_27608_M54445-16300,for_sale,2022-05-06T14:54:51Z,,"[{'name': 'Allen Tate Realtors-Raleigh-Glenwood', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e5fcb20f9bc17142d7da096d90435f12l-m2398605766s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e5fcb20f9bc17142d7da096d90435f12l-m2826443093s-w1024_h768.jpg'}]",,965000,False,5444516300,,,2942813447,,https://ap.rdcpix.com/e5fcb20f9bc17142d7da096d90435f12l-m2398605766s-w1024_h768.jpg,[{'office_name': 'Allen Tate/Raleigh-Glenwood'}],TANC,,,mls,84BE7A350801EC491C09600726FE7752,,,,,,,True,,,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,1918.0,,1987-03-26,91000.0,2.0,,,10890.0,1813.0,2,,,,1.0,3.0,single_family,27608,North Carolina,-78.642093,35.805008,Raleigh,NC,301 W Whitaker Mill Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=301%20W%20Whitaker%20Mill%20Rd%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=6LQXRV7DsvofMOorEd-yp6UTjk4=,37183,Wake,"[{'listing_id': '2942813447', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
1,2022-05-06T11:55:35Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'big_yard', 'fenced_yard', 'no_hoa', 'big_lot']",117-Ammons-Dr_Raleigh_NC_27615_M69623-72659,for_sale,2022-05-06T11:58:00Z,,"[{'name': 'Engel & Volkers Raleigh', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/72384597c3712ad1aa1cfa1fc5ff4b3el-m880115576s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/72384597c3712ad1aa1cfa1fc5ff4b3el-m297170889s-w1024_h768.jpg'}]",,820000,False,6962372659,,,2942807824,,https://ap.rdcpix.com/72384597c3712ad1aa1cfa1fc5ff4b3el-m880115576s-w1024_h768.jpg,[{'office_name': 'Engel & Volkers Raleigh'}],TANC,,,mls,3BED9ED3AC37874E38B1FDC916269349,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1975.0,,2004-04-12,335000.0,3.0,,1.0,48787.0,4320.0,4,,,,2.0,5.0,single_family,27615,North Carolina,-78.637784,35.86995,Raleigh,NC,117 Ammons Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=117%20Ammons%20Dr%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=cCqMzOiPtZ71GkfRebugY0605GM=,37183,Wake,"[{'listing_id': '2942807824', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
2,2022-05-06T11:37:33Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",2013-Lacebark-Ln_Raleigh_NC_27613_M51815-91777,for_sale,2022-05-06T11:41:52Z,,"[{'name': 'Real Properties', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c2160cbddda7988aafe0a2a7c757f9e1l-m3863601510s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c2160cbddda7988aafe0a2a7c757f9e1l-m1762231238s-w1024_h768.jpg'}]",,850000,False,5181591777,,,2942807642,,https://ap.rdcpix.com/c2160cbddda7988aafe0a2a7c757f9e1l-m3863601510s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,0BEDE15B022730C531B20ACFBEF46038,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1996.0,,1996-07-18,346000.0,4.0,,,135036.0,3691.0,4,,,2.0,2.0,5.0,single_family,27613,North Carolina,-78.714645,35.922958,Raleigh,NC,2013 Lacebark Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2013%20Lacebark%20Ln%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=NC1xHOkzhWLH7qQHPLqaGTD5lsQ=,37183,Wake,"[{'listing_id': '2942807642', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
3,2022-05-06T23:13:40Z,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",4009-Banks-Stone-Dr_Raleigh_NC_27603_M90060-20089,for_sale,2022-05-06T10:46:02Z,,"[{'name': 'Costello Real Estate and Investments', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c4928c4d374c0872b70ecde1b0abc688l-m417521927s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c4928c4d374c0872b70ecde1b0abc688l-m3529161487s-w1024_h768.jpg'}]",,875000,False,9006020089,,,2942807113,,https://ap.rdcpix.com/c4928c4d374c0872b70ecde1b0abc688l-m417521927s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,A6E8A6526DBBE9B45A2AE26E535C518F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2018.0,,2018-04-24,496500.0,3.0,,1.0,31799.0,4186.0,4,,,2.0,2.0,4.0,single_family,27603,North Carolina,-78.696332,35.642636,Raleigh,NC,4009 Banks Stone Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4009%20Banks%20Stone%20Dr%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=ajHsdAlgiGVVir458W_kYuhrscU=,37183,Wake,"[{'listing_id': '2942807113', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
4,2022-05-06T10:00:45Z,"['carport', 'central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'energy_efficient', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'no_hoa', 'solar_system', 'big_lot', 'solar_panels', 'lake']",2405-Pleasant-Union-Church-Rd_Raleigh_NC_27614_M67248-64915,for_sale,2022-05-06T10:03:15Z,"[{'start_date': '2022-05-07T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T16:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Fonville Morisey/Brier Creek Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c9191a973733c91360ed8b462d3f4022l-m1555952361s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c9191a973733c91360ed8b462d3f4022l-m2718546710s-w1024_h768.jpg'}]",,825000,False,6724864915,,,2942806661,,https://ap.rdcpix.com/c9191a973733c91360ed8b462d3f4022l-m1555952361s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,A56415E0ECAD68322C92F4E95443FB9C,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2008.0,,1995-03-31,60000.0,2.0,,2.0,146362.0,4237.0,4,,,2.0,2.0,3.0,single_family,27614,North Carolina,-78.664862,35.958987,Raleigh,NC,2405 Pleasant Union Church Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2405%20Pleasant%20Union%20Church%20Rd%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=APPk_Tx3i32zhVUInUI69MUuq1I=,37183,Wake,"[{'listing_id': '2942806661', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
5,2022-05-05T19:07:07Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'garage_1_or_more', 'garage_2_or_more']",2901-Charleston-Oaks-Dr_Raleigh_NC_27614_M53439-74346,for_sale,2022-05-05T19:11:54Z,,"[{'name': 'Integra Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9f8cebbe3c59508c08f4140aa4951631l-m3197232355s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9f8cebbe3c59508c08f4140aa4951631l-m2490210542s-w1024_h768.jpg'}]",,969900,False,5343974346,,,2942778635,,https://ap.rdcpix.com/9f8cebbe3c59508c08f4140aa4951631l-m3197232355s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,FBDA1F916930881C0DF81F6C8EE15114,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2003.0,,,,5.0,,,7405.0,5856.0,5,,,2.0,,5.0,single_family,27614,North Carolina,-78.552199,35.956539,Raleigh,NC,2901 Charleston Oaks Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2901%20Charleston%20Oaks%20Dr%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=dkEgfYfBBx5k8qb9M4cBMmxiR8I=,37183,Wake,"[{'listing_id': '2942778635', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '600546486', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '600575386', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
6,2022-05-05T18:54:32Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'basement', 'single_story']",215-N-East-St_Raleigh_NC_27601_M62687-11007,for_sale,2022-05-05T19:03:46Z,"[{'start_date': '2022-05-07T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T16:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Southern Lux Living', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c8d4a2e8dee5b4bb466b00508b2635d1l-m966629243s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c8d4a2e8dee5b4bb466b00508b2635d1l-m697703894s-w1024_h768.jpg'}]",,875000,False,6268711007,,,2942778017,,https://ap.rdcpix.com/c8d4a2e8dee5b4bb466b00508b2635d1l-m966629243s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,5A4FBBCB7E9A2D5CE6779062FC9BF02A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1897.0,,2013-04-19,350000.0,2.0,,,5227.0,2730.0,2,,,,1.0,3.0,single_family,27601,North Carolina,-78.632421,35.782752,Raleigh,NC,215 N East St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=215%20N%20East%20St%2C%20Raleigh%2C%20NC%2027601&size=640x480&source=outdoor&signature=7tSxCTaTZc2aCQW9D81ph0iOswA=,37183,Wake,"[{'listing_id': '2942778017', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '563436722', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
7,2022-05-04T23:49:40Z,"['central_air', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",6217-Morning-Glory-Dr_Raleigh_NC_27603_M98359-20523,for_sale,2022-05-04T23:52:55Z,,"[{'name': 'Fonville Morisey/Lochmere Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/406605358de90843cad1e2c3fcd61431l-m33313604s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/406605358de90843cad1e2c3fcd61431l-m2243452039s-w1024_h768.jpg'}]",,840000,False,9835920523,,,2942744740,,https://ap.rdcpix.com/406605358de90843cad1e2c3fcd61431l-m33313604s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,3.0,,1.0,29621.0,3370.0,4,,,2.0,2.0,4.0,single_family,27603,North Carolina,-78.675235,35.606615,Raleigh,NC,6217 Morning Glory Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6217%20Morning%20Glory%20Dr%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=dylqXENUPbSy4oqqDXPuA_pMqR4=,37183,Wake,"[{'listing_id': '2942744740', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
8,2022-05-02T20:01:55Z,"['hardwood_floors', 'lake_view', 'view', 'water_view', 'pond', 'park', 'views', 'shopping']",8806-Albright-Rd_Raleigh_NC_27612_M90646-86411,for_sale,2022-05-02T20:05:33Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/30d4f038f8469c16b4f133672465e5c3l-m913211278s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/30d4f038f8469c16b4f133672465e5c3l-m3534363878s-w1024_h768.jpg'}]",,949900,False,9064686411,,,2942661181,,https://ap.rdcpix.com/30d4f038f8469c16b4f133672465e5c3l-m913211278s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,6E5E544BA671896E5E6309E61D597AFE,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,1994-09-20,175000.0,,,,191664.0,,0,,,,,,land,27612,North Carolina,-78.749337,35.877912,Raleigh,NC,8806 Albright Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8806%20Albright%20Rd%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=qQKnafskMkEXhfCQd4KKtHg9Lyg=,37183,Wake,"[{'listing_id': '2942661181', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2933854406', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
9,2022-05-02T18:41:47Z,"['city_view', 'community_clubhouse', 'community_outdoor_space', 'community_tennis_court', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'coffer_ceiling', 'front_porch', 'river_view']",10650-Bedfordtown-Dr_Raleigh_NC_27614_M58561-51162,for_sale,2022-04-28T20:59:02Z,,"[{'name': ""Carolina's Choice Real Estate"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/66ea9101f16e5546be94c113cdf8e465l-m3812334213s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/66ea9101f16e5546be94c113cdf8e465l-m2554547321s-w1024_h768.jpg'}]",,875000,False,5856151162,,,2942539986,,https://ap.rdcpix.com/66ea9101f16e5546be94c113cdf8e465l-m3812334213s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,AF4A47B7E77AD5BCC8E0A68BFCA6FAAC,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2004.0,,2019-08-02,575000.0,5.0,,1.0,10454.0,4113.0,6,,,2.0,3.0,5.0,single_family,27614,North Carolina,-78.564715,35.92458,Raleigh,NC,10650 Bedfordtown Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10650%20Bedfordtown%20Dr%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=pf4_vNkWEGqipPB2hHPg__yoQZc=,37183,Wake,"[{'listing_id': '2942539986', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2224958499', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '521548982', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
10,2022-04-29T19:40:16Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'den_or_office', 'disability_features', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",1732-Bowling-Green-Trl_Raleigh_NC_27613_M60444-61228,for_sale,2022-04-28T19:04:37Z,,"[{'name': 'Premier Agents Network', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d4d0ae5be7227ce6c25ca34d498a309el-m1207838754s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d4d0ae5be7227ce6c25ca34d498a309el-m174759001s-w1024_h768.jpg'}]",,850000,False,6044461228,,,2942534220,,https://ap.rdcpix.com/d4d0ae5be7227ce6c25ca34d498a309el-m1207838754s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,EB6A53DDB399430A852915C166BE4719,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2002.0,,2020-12-09,582000.0,3.0,,1.0,35719.0,3920.0,4,,,2.0,2.0,4.0,single_family,27613,North Carolina,-78.698452,35.97841,Raleigh,NC,1732 Bowling Green Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1732%20Bowling%20Green%20Trl%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=mR804WmoD5hDAyh9o_iY-yFThT4=,37183,Wake,"[{'listing_id': '2942534220', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2916280080', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2543707164', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '564646466', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
11,2022-04-27T14:33:15Z,"['community_golf', 'community_outdoor_space', 'community_tennis_court', 'corner_lot', 'den_or_office', 'family_room', 'fireplace', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen']",7512-Rainwater-Rd_Raleigh_NC_27615_M67050-31730,for_sale,2022-04-27T14:34:54Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e7b02dc0d5dfc0bcd6ae443f5cc46c15l-m3607623846s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e7b02dc0d5dfc0bcd6ae443f5cc46c15l-m3334867989s-w1024_h768.jpg'}]",,899900,False,6705031730,,,2942473810,,https://ap.rdcpix.com/e7b02dc0d5dfc0bcd6ae443f5cc46c15l-m3607623846s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,0328A6449987BCC30875AF43A534D9FF,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1991.0,,2017-05-18,595000.0,3.0,,1.0,19166.0,3811.0,4,,,2.0,2.0,4.0,single_family,27615,North Carolina,-78.604213,35.886047,Raleigh,NC,7512 Rainwater Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7512%20Rainwater%20Rd%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=jBkRQX8U6bjSKSo4cj6ylZPrqYw=,37183,Wake,"[{'listing_id': '2942473810', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '625502610', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
